Year,Month,Aircraft_Movements
2009,1,101972
2009,2,94393
2009,3,105385
2009,4,103306
2009,5,105188
2009,6,102889
2009,7,109543
2009,8,106787
2009,9,106250
2009,10,110490
2009,11,106404
2009,12,107266
2010,1,104447
2010,2,100077
2010,3,113783
2010,4,112192
2010,5,114080
2010,6,111202
2010,7,118856
2010,8,116736
2010,9,114733
2010,10,117760
2010,11,115276
2010,12,118344
2011,1,111309
2011,2,103768
2011,3,118375
2011,4,114175
2011,5,117140
2011,6,109826
2011,7,117855
2011,8,119003
2011,9,115453
2011,10,116351
2011,11,115382
2011,12,116023
2012,1,113118
2012,2,111584
2012,3,119990
2012,4,116353
2012,5,118341
2012,6,113454
2012,7,124128
2012,8,125374
2012,9,120794
2012,10,126164
2012,11,122353
2012,12,119169
2013,1,117335
2013,2,109095
2013,3,121891
2013,4,122306
2013,5,123246
2013,6,117183
2013,7,128401
2013,8,125776
2013,9,124236
2013,10,128598
2013,11,121164
2013,12,122050
2014,1,119300
2014,2,109045
2014,3,122257
2014,4,120718
2014,5,121833
2014,6,117713
2014,7,126316
2014,8,122581
2014,9,122641
2014,10,126811
2014,11,117982
2014,12,121720
2015,1,117335
2015,2,109168
2015,3,122790
2015,4,119816
2015,5,120249
2015,6,119238
2015,7,127392
2015,8,123482
2015,9,123238
2015,10,126097
2015,11,121020
2015,12,123793
2016,1,118965
2016,2,117029
2016,3,125666
2016,4,121873
2016,5,121554
2016,6,118478
2016,7,127416
2016,8,127794
2016,9,125902
2016,10,127164
2016,11,123950
2016,12,125156
2017,1,120993
2017,2,113203
2017,3,125997
2017,4,119961
2017,5,122847
2017,6,119941
2017,7,128198
2017,8,127340
2017,9,123018
2017,10,127873
2017,11,124418
2017,12,123817
2018,1,122046
2018,2,113217
2018,3,124890
2018,4,121297
2018,5,122175
2018,6,116498
2018,7,126892
2018,8,125587
2018,9,121265
2018,10,128797
2018,11,123659
2018,12,122312
2019,1,122187
2019,2,113657
2019,3,124771
2019,4,124049
2019,5,125426
2019,6,118801
2019,7,130014
2019,8,124553
2019,9,123832
2019,10,129927
2019,11,122349
2019,12,123361
2020,1,120001
2020,2,112380
2020,3,97921
2020,4,19071
2020,5,18788
2020,6,23710
2020,7,33012
2020,8,32019
2020,9,35597
2020,10,40217
2020,11,45267
2020,12,64875
2021,1,55761
2021,2,55704
2021,3,78123
2021,4,89972
2021,5,92754
2021,6,77751
2021,7,59627
2021,8,43070
2021,9,45723
2021,10,47215
2021,11,58654
2021,12,84906
2022,1,79397
2022,2,70171
2022,3,94322
2022,4,107690
2022,5,110113
2022,6,107698
2022,7,109120
2022,8,109189
2022,9,106511
2022,10,108980
2022,11,110616
2022,12,112956
2023,1,112457
2023,2,104654
2023,3,119230
2023,4,114719
2023,5,119192
2023,6,115581
2023,7,120320
2023,8,122121
2023,9,118812
2023,10,121864
2023,11,118490
2023,12,119133
,,
,,
,,
,,
,,
,,
